"Tweet Id","Media Id","Media URL","Tweet URL"
"""1382359039942742020""","""1382355847716605952""",https://pbs.twimg.com/media/Ey8dUchVEAAa7SW.jpg,https://t.co/WRe3Ch9EVb
"""1382105208923242502""","""1361900092727386112""",https://pbs.twimg.com/media/EuZw6y6WYAAvz1O.jpg,https://t.co/vBwQbo4YsG
"""1380883688603389954""","""1380613712978001921""",https://pbs.twimg.com/media/Eyjs224WQAErXPI.jpg,https://t.co/Sv41pdKK14
"""1380828517156409344""","""1380822983355285508""",https://pbs.twimg.com/media/EymrL_yWQAQijyO.jpg,https://t.co/bP6Zr4Zo0x
"""1377319503177080841""","""1377318318168711170""",https://pbs.twimg.com/media/Ex03tokVoAIK4l2.jpg,https://t.co/DkrrPEd32z
"""1376966991521669122""","""1376966987864289283""",https://pbs.twimg.com/media/Exv4LhMXMAMTVwM.jpg,https://t.co/azYRdFi1ZH
"""1376485421060882438""","""1376211540471349249""",https://pbs.twimg.com/media/ExlJGsWWgAEftSg.png,https://t.co/nw3VXtj1Qy
"""1375492893696221184""","""1375488997854748674""",https://pbs.twimg.com/media/Exa39LWXIAIvsoB.jpg,https://t.co/qiymhZah8Y
"""1374186558333595648""","""1374182885213810688""",https://pbs.twimg.com/media/ExIUDamXMAALDxt.jpg,https://t.co/3SEiDigFwk
"""1373415990550274056""","""1331685442706522112""",https://pbs.twimg.com/media/EnsY2sUUwAAGQVm.jpg,https://t.co/oYIfUCHec2
"""1373020871992995846""","""1373012671507861508""",https://pbs.twimg.com/media/Ew3rwA1WEAQ3sVc.jpg,https://t.co/0l3peDQCwf
"""1372920185716363268""","""1230281127086084097""",https://pbs.twimg.com/media/ERLWKrHVUAE8quR.jpg,https://t.co/FYNECMtWJU
"""1371903034264018946""","""1371903031000887296""",https://pbs.twimg.com/media/Ewn6ib0W8AA5EWP.jpg,https://t.co/xARUTlaNiU
"""1371902978681110528""","""1371393648701575170""",https://pbs.twimg.com/media/EwgrQe4VkAI9vQi.jpg,https://t.co/6POuuLbJuz
